Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,FixtureWeek1,Opponent1,HomeAway1,FixtureWeek2,Opponent2,HomeAway2,FixtureWeek3,Opponent3,HomeAway3,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded,Crosses,BigChancesCreated,ClearancesBlocksIntercepts,Recoveries,KeyPasses,Tackles,AttemptedPasses,PassesCompleted,BigChancesMissed,ErrorsToGoal,ErrorsToGoalAttempt,Tackled,Offside,Fouls,Dribbles
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,17,0,48,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,18,0,48,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,19,0,48,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,20,0,48,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,21,0,48,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,22,0,48,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,23,0,48,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,24,0,48,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,25,0,48,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,26,1,48,-54,20,0,0,0,0,0,0,0,0,0,1,4,0,0,8,7,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,27,0,48,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,28,0,48,-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,29,0,48,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,30,0,48,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
